250,-16.0455292293
260,-14.1817244725
270,-12.4621768642
280,-10.8385960682
290,-9.3384369777
300,-7.9039691838
310,-6.5357444729
320,-5.2478362879
330,-4.0118887551
340,-2.8415766702
350,-1.6993440364
360,-0.6331147096
370,0.3985100477
380,1.394326209
390,2.3421407331
400,3.2466407985
410,4.1114381429
420,4.9507715525
430,5.7524592696
440,6.5208886593
450,7.2748289921
460,8.0011265746
470,8.7033059259
480,9.3806223664
490,10.0340885319
500,10.6794458579
510,11.2868002142
520,11.8868303896
530,12.4672510195
540,13.0300942709
550,13.5905378256
560,14.1207779786
570,14.635846318
580,15.1497846507
590,15.6361839062
600,16.1223745366
610,16.5958083666
620,17.0570616743
630,17.506764956
640,17.9453482714
650,18.3732670696
660,18.7912708761
670,19.2000722551
680,19.6002905055
690,19.9923972533
700,20.3887668695
710,20.7656103763
720,21.1469866917
730,21.5087766113
740,21.8749163422
750,22.2218191738
760,22.5728140737
770,22.9054064632
780,23.2427288525
790,23.5739380091
800,23.8993523466
810,24.2085385072
820,24.5236293325
830,24.8339189755
840,25.1397014283
850,25.4409898315
860,25.7378860271
870,26.0305782164
880,26.3189673003
890,26.5929994238
900,26.8732013518
910,27.1595493922
920,27.4318916268
930,27.7006414787
940,27.9659136657
950,28.2278674091
960,28.4866468346
970,28.7423936412
980,28.9952749047
990,29.2454691403
1000,29.4931023416
1010,29.7476757356
1020,29.9904817265
1030,30.2309960624
1040,30.4693086528
1050,30.7054826091
1060,30.9486758589
1070,31.1807774918
1080,31.4109226244
1090,31.6391801675
1100,31.8743758629
1110,32.0987275621
1120,32.321231568
1130,32.5505754669
1140,32.7694069633
1150,32.9864914596
1160,33.2017802627
1170,33.4237133842
1180,33.6352816055
1190,33.8532402508
1200,34.0608150092
1210,34.2664903231
1220,34.4784289352
1230,34.6800955617
1240,34.8797546933
1250,35.0855046607
1260,35.2811815172
1270,35.4748854481
1280,35.6746036518
1290,35.8643766856
1300,36.0600484721
1310,36.2459545001
1320,36.4300181575
1330,36.6198760405
1340,36.8001358488
1350,36.9862839743
1360,37.1629755887
1370,37.3379091434
1380,37.5186075337
1390,37.6900652845
1400,37.8672925056
1410,38.0354135389
1420,38.2018754731
1430,38.3740427458
1440,38.5373144664
1450,38.7062751661
1460,38.8663613106
1470,39.0321641457
1480,39.189306988
1490,39.3449979237
1500,39.5062888202
1510,39.6590903599
1520,39.8175067324
1530,39.9675483492
1540,40.1162059182
1550,40.2703984744
1560,40.4163872308
1570,40.5679040155
