0.01,16.5,21.4,21,10.8
0.0125,14,18,17.6,9.28
0.015,12.2,15.6,15.3,8.21
0.0175,10.9,13.9,13.6,7.39
0.02,9.85,12.5,12.3,6.74
0.025,8.35,10.5,10.3,5.79
0.03,7.29,9.18,8.98,5.11
0.035,6.52,8.17,8,4.6
0.04,5.92,7.4,7.24,4.2
0.045,5.44,6.78,6.64,3.88
0.05,5.05,6.28,6.15,3.62
0.055,4.72,5.87,5.74,3.4
0.06,4.45,5.52,5.4,3.21
0.07,4.01,4.96,4.85,2.91
0.08,3.67,4.53,4.43,2.68
0.09,3.4,4.19,4.1,2.5
0.1,3.19,3.92,3.84,2.35
0.125,2.79,3.42,3.35,2.08
0.15,2.52,3.08,3.02,1.89
0.175,2.33,2.84,2.78,1.75
0.2,2.18,2.66,2.61,1.65
0.25,1.98,2.41,2.36,1.51
0.3,1.85,2.25,2.2,1.42
0.35,1.76,2.13,2.09,1.36
0.4,1.69,2.05,2.01,1.31
0.45,1.64,1.99,1.94,1.28
0.5,1.6,1.94,1.9,1.26
0.55,1.58,1.9,1.86,1.24
0.6,1.55,1.87,1.83,1.23
0.7,1.52,1.82,1.78,1.21
0.8,1.5,1.79,1.76,1.2
0.9,1.49,1.77,1.74,1.2
1,1.49,1.76,1.72,1.21
1.25,1.48,1.74,1.71,1.22
1.5,1.49,1.74,1.7,1.24
1.75,1.5,1.74,1.7,1.27
2,1.52,1.74,1.71,1.3
2.5,1.55,1.76,1.73,1.36
3,1.58,1.78,1.75,1.42
3.5,1.61,1.8,1.77,1.48
4,1.64,1.82,1.79,1.54
4.5,1.66,1.84,1.81,1.59
5,1.69,1.86,1.83,1.65
5.5,1.72,1.88,1.85,1.71
6,1.74,1.9,1.86,1.76
7,1.79,1.93,1.9,1.88
8,1.83,1.97,1.93,1.99
9,1.88,2,1.96,2.1
10,1.92,2.03,1.99,2.21
12.5,2.03,2.11,2.07,2.48
15,2.13,2.18,2.14,2.76
17.5,2.24,2.25,2.2,3.03
20,2.34,2.32,2.27,3.3
25,2.54,2.45,2.4,3.86
30,2.75,2.58,2.52,4.41
35,2.95,2.71,2.65,4.97
40,3.15,2.83,2.77,5.53
45,3.35,2.96,2.89,6.09
50,3.55,3.09,3.02,6.65
55,3.75,3.21,3.14,7.22
60,3.95,3.34,3.26,7.78
70,4.35,3.59,3.5,8.92
80,4.76,3.84,3.75,10.1
90,5.16,4.09,3.99,11.2
100,5.56,4.34,4.24,12.4
125,6.57,4.97,4.84,15.3
150,7.58,5.6,5.45,18.1
175,8.6,6.23,6.07,21.1
200,9.61,6.86,6.68,24
250,11.7,8.12,7.9,29.8
300,13.7,9.39,9.13,35.6
350,15.7,10.7,10.4,41.5
400,17.8,11.9,11.6,47.4
450,19.8,13.2,12.8,53.2
500,21.9,14.5,14.1,59.1
550,23.9,15.7,15.3,65
600,26,17,16.5,70.8
700,30.1,19.6,19,82.6
800,34.2,22.1,21.5,94.4
900,38.3,24.7,23.9,106
1000,42.4,27.2,26.4,118
